===== Block 5 Diamond Ladder Ranking =====
    Ticker  FII_Change  DII_Change  Prom_Change  P_E EPS_TTM  SalesGrowth  ProfitGrowth ROCE
    540360       56.00         NaN        -0.24 None    None          NaN           NaN None
  FIVESTAR       51.59        3.86       -13.40 None    None          NaN           NaN None
  CARTRADE       49.75        4.29          NaN None    None       108.43       1466.67 None
 MAXHEALTH       36.80       12.53       -46.72 None    None        90.07         78.03 None
 REDINGTON       32.81       -5.63        -8.20 None    None        54.45        -28.53 None
    SUBROS       32.79        5.21        -3.22 None    None        23.84        241.67 None
 APLAPOLLO       32.63        1.50        -9.16 None    None        50.33         95.87 None
   UGROCAP       29.32        1.62       -71.56 None    None          NaN           NaN None
 POLICYBZR       29.04       14.12          NaN None    None       166.93        141.67 None
      CAMS       28.01       -6.72       -30.98 None    None        49.37         66.15 None
   CMSINFO       27.42       15.52       -63.38 None    None        38.41         36.23 None
 RESPONIND       27.19       -0.63        -0.93 None    None        49.34        655.56 None
  INDHOTEL       27.18      -20.92        -0.75 None    None        61.22         81.77 None
     GOKEX       24.80       35.89       -30.79 None    None        56.46          5.13 None
    539607       22.94         NaN       -39.80 None    None       136.78        366.67 None
       KEI       22.41        6.84       -11.58 None    None        65.50         88.46 None
GODREJPROP       21.65        6.22       -28.21 None    None        77.55       1290.70 None
ADVENZYMES       21.65        1.07       -27.02 None    None        53.72        122.22 None
GMMPFAUDLR       20.99       15.36       -49.82 None    None         7.58        -83.61 None
  SONACOMS       20.96       18.18       -39.16 None    None        46.23         60.53 None
    AHIMSA       20.66         NaN       -18.25 None    None          NaN           NaN None
  KFINTECH       19.45        0.10       -27.01 None    None        62.13        108.11 None
 ELECTCAST       19.28       -7.71        -6.79 None    None       -11.83         -6.32 None
     DHANI       19.27        1.63        -9.31 None    None       -65.12        106.31 None
GENUSPOWER       19.10       -1.94       -11.12 None    None       403.74       1041.67 None
TDPOWERSYS       18.53        5.00       -27.18 None    None        81.46        138.10 None
     TRENT       18.39      -24.02         4.40 None    None       170.83        269.57 None
    543542       18.22         NaN         0.39 None    None       171.43        -50.00 None
       ITC       17.90       11.12          NaN None    None        16.26         19.48 None
   HDFCAMC       17.80       14.45       -30.28 None    None        77.61        105.49 None
       AVL       17.67        9.84        -2.70 None    None          NaN           NaN None
   ICICIGI       17.52        8.36        -4.46 None    None          NaN           NaN None
     LODHA       17.09        1.19       -16.60 None    None        30.49        149.08 None
       BSE       16.78      -20.03          NaN None    None       396.37       1245.00 None
 INTELLECT       16.73       -0.27         0.49 None    None        29.76         36.23 None
   PRUDENT       16.72        9.22        -3.12 None    None       129.69        173.68 None
  SAREGAMA       16.68        5.13         0.51 None    None        24.70        -11.90 None
     AAVAS       16.64       -7.19        -9.33 None    None          NaN           NaN None
   BRIGADE       16.29       13.64       -14.84 None    None        42.02        143.08 None
    540377       16.07         NaN       -32.35 None    None       714.88      17100.00 None
       IRB       15.69        2.85       -26.95 None    None         9.04        -44.35 None
       MGL       15.68       14.48       -32.50 None    None        24.66         84.88 None
   RKFORGE       15.65      -10.61        -7.29 None    None        45.21        -76.47 None
   TIINDIA       15.14        1.06        -5.83 None    None        40.60         22.67 None
    538598       15.06        0.04       -17.32 None    None        16.84         91.23 None
 JINDALSAW       15.00      -17.63         2.10 None    None        17.45       2693.75 None
    514330       14.98         NaN       -23.72 None    None          NaN           NaN None
 XPROINDIA       14.92        3.25        -9.31 None    None        -9.23       -129.57 None
BANDHANBNK       14.73       14.72       -41.36 None    None          NaN           NaN None
   SUNTECK       14.69        4.31       -10.55 None    None        30.56         32.00 None
 AURIONPRO       14.43        2.70        -5.28 None    None       130.82        112.50 None
BHARATFORG       14.37       -1.28        -3.17 None    None        37.11         77.50 None
 PRICOLLTD       14.28       13.42         1.25 None    None       101.12        138.10 None
EIHAHOTELS       13.72      -14.26         0.00 None    None          NaN           NaN None
    526961       13.46         NaN         0.91 None    None      8453.86        -30.80 None
VAIBHAVGBL       13.10      -12.03       -11.09 None    None        29.62         90.00 None
    SAFARI       13.05        4.59       -16.57 None    None        80.20         85.19 None
BECTORFOOD       13.04       13.84        -2.09 None    None        57.14        138.46 None
      PGEL       13.02       17.94       -21.28 None    None       180.07        318.75 None
      CDSL       12.90      -35.92        -9.00 None    None        85.00         75.86 None
