Scan_Name,S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%,Profit Var 3Yrs%,ROE%,ROE 3Yr%,Company_Path,Ticker,Match_Quality,Match_Source,Down%,All time highRs.,52w HighRs.,3mth return%,PAT 12MRs.Cr.,PEG,Avg PAT 10YrsRs.Cr.,Avg Div Payout 3Yrs%,Sales Var 3Yrs%,Net BlockRs.Cr.,Net Block 3Yrs BackRs.Cr.,NP PY QtrRs.Cr.,Exp Qtr NPRs.Cr.
beaten_down,39.,Adani Power,152.51,23.70,294110.88,0.00,3305.13,-13.49,14109.15,-5.66,22.54,37.69,26.10,40.43,/company/ADANIPOWER/consolidated/,ADANIPOWER.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,50.,All Time Plastic,272.95,37.78,1788.03,0.00,12.82,5.17,157.98,21.47,19.23,24.16,21.00,21.94,/company/ALLTIME/,ALLTIME.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,46.,Amines & Plast.,216.61,29.96,1191.79,0.23,7.43,-14.20,140.29,2.04,20.17,19.74,17.11,16.90,/company/AMNPLST/consolidated/,AMNPLST.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,4.,Ashoka Buildcon,186.73,2.98,5241.94,0.00,226.89,44.61,1887.07,-23.46,39.70,49.27,54.78,37.42,/company/ASHOKA/consolidated/,ASHOKA.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,7.,Avantel,181.25,91.84,4802.57,0.11,3.23,-56.23,51.91,0.29,37.06,46.42,28.12,31.48,/company/AVANTEL/consolidated/,AVANTEL.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,14.,BLS Internat.,331.15,24.13,13634.80,0.30,180.98,49.76,710.57,44.23,33.62,65.40,34.31,32.25,/company/BLS/consolidated/,BLS.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,6.,Bharat Electron,406.50,54.02,297142.51,0.59,969.05,22.62,4439.74,4.62,38.88,30.36,29.22,26.44,/company/BEL/consolidated/,BEL.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,34.,CMS Info Systems,372.15,16.31,6120.85,1.75,93.58,3.07,627.41,4.67,23.67,17.39,17.06,18.84,/company/CMSINFO/consolidated/,CMSINFO.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,42.,Carraro India,454.30,29.57,2582.77,1.00,28.51,4.17,489.18,4.07,21.84,72.37,19.97,17.18,/company/CARRARO/,CARRARO.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,2.,Coal India,388.50,7.22,239422.00,6.82,8734.17,-20.22,35842.19,-1.71,48.04,26.74,38.89,48.67,/company/COALINDIA/consolidated/,COALINDIA.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,44.,D B Corp,269.40,14.38,4801.76,4.45,80.84,-31.42,559.45,-5.15,21.06,37.10,16.73,15.47,/company/DBCORP/consolidated/,DBCORP.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,21.,D-Link India,485.75,16.42,1724.65,4.12,24.38,3.26,350.16,1.26,28.34,32.89,21.31,22.42,/company/DLINKINDIA/consolidated/,DLINKINDIA.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,13.,DDev Plastiks,343.65,18.22,3555.98,0.51,52.15,22.85,769.22,22.99,33.92,50.26,24.89,26.69,/company/DDEVPLSTIK/,DDEVPLSTIK.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,1.,Dam Capital Advi,236.91,16.13,1674.62,0.42,0.23,-98.96,30.85,-30.58,64.08,67.63,48.67,42.21,/company/DAMCAPITAL/consolidated/,DAMCAPITAL.NS,HIGH,NSE,,,,,,,,,,,,,
beaten_down,23.,Dynamic Cables,400.35,27.16,1940.04,0.06,18.21,56.98,262.04,25.65,26.37,28.05,22.07,20.47,/company/DYCL/,DYCL.NS,HIGH,NSE,,,,,,,,,,,,,
